,,success,success,success,evacuation_time,evacuation_time,path_efficiency,path_efficiency,coordination_score,coordination_score,total_reward,total_reward
,,mean,std,count,mean,std,mean,std,mean,std,mean,std
scenario_id,algorithm,,,,,,,,,,,
1,a2c,1.0,0.0,12,52.5,26.207,0.103,0.05,0.132,0.119,254.362,66.194
1,dqn,1.0,0.0,12,26.333,5.742,0.336,0.272,0.315,0.115,186.888,19.616
1,ppo,1.0,0.0,12,25.833,11.077,0.26,0.182,0.287,0.125,189.689,31.158
2,a2c,1.0,0.0,126,54.286,18.596,0.092,0.062,0.677,0.144,268.406,50.605
2,dqn,0.0,0.0,126,150.0,0.0,0.223,0.188,0.913,0.065,168.133,104.625
2,ppo,1.0,0.0,126,48.571,14.967,0.099,0.057,0.673,0.153,255.816,43.379
3,a2c,0.441,0.498,186,148.71,5.428,0.021,0.002,0.337,0.075,303.784,160.359
3,dqn,0.005,0.073,186,150.0,0.0,0.843,0.366,0.962,0.124,24.318,33.727
3,ppo,0.618,0.487,186,143.011,15.404,0.026,0.008,0.382,0.076,348.946,144.925
4,a2c,0.989,0.103,186,53.489,30.34,0.08,0.055,0.512,0.131,185.404,32.224
4,dqn,0.118,0.324,186,150.0,0.0,0.399,0.45,0.839,0.191,32.279,71.181
4,ppo,1.0,0.0,186,45.382,16.936,0.098,0.057,0.579,0.136,192.523,24.561
